id;code;description;times;creation_date;expire_date;created_by
1;Netherlands transitional;Wooden Wooden Turnpike;41054;2022-02-16T14:26:04;2022-02-16T07:01:10;Borders
2;TCP transmitting;generate Sleek;10754;2022-02-15T19:32:07;2022-02-16T09:29:13;Dollar
3;upward-trending;Fantastic;17958;2022-02-16T03:07:58;2022-02-16T06:40:32;calculate Home Lek
4;Analyst;Turnpike AGP;21491;2022-02-16T16:12:58;2022-02-16T02:52:46;transmitter transmitting Granite
5;Qatar;Plastic TCP Electronics;84082;2022-02-16T17:12:31;2022-02-16T03:11:23;plum
6;Chips Computer orange;navigate Fresh;51567;2022-02-16T16:09:17;2022-02-16T06:54:43;solutions
7;transmit payment;Mexico copying Identity;82467;2022-02-16T06:57:16;2022-02-16T14:32:13;Account COM payment
8;hub;mission-critical Customer Home;76738;2022-02-16T05:04:17;2022-02-16T17:16:27;CSS Triple-buffered
9;Account Assistant Rustic;Rubber circuit;2466;2022-02-16T10:20:00;2022-02-16T02:59:45;Plastic Chief Savings
10;Estate;Borders pixel;55321;2022-02-16T15:45:23;2022-02-16T05:29:54;HTTP Metrics
