id;saved_by;saved_date;end_date;story_text;multi_media;url;description
1;Monitored composite;2022-02-16T01:21:30;2022-02-16T05:41:13;lavender;AUDIO;http://jorge.biz;azure Idaho
2;Hat transmitting bypass;2022-02-16T04:19:22;2022-02-16T07:11:04;invoice;VIDEO;http://owen.org;Rubber Face Mount
3;Manager Global;2022-02-16T13:39:35;2022-02-15T22:17:44;Unbranded;PHOTO;http://macey.org;collaboration panel
4;Gorgeous microchip Decentralized;2022-02-16T04:25:15;2022-02-16T02:49:51;Marketing;AUDIO;https://fritz.com;Upgradable Maine
5;multi-byte Infrastructure;2022-02-16T11:06:00;2022-02-16T19:00:11;metrics core Team-oriented;AUDIO;http://kenton.org;reboot experiences turquoise
6;multimedia Borders;2022-02-16T03:21:17;2022-02-16T12:29:39;SSL proactive;VIDEO;http://darren.org;compressing Division
7;Liaison;2022-02-16T14:33:24;2022-02-16T06:49:34;Fully-configurable Bulgaria;VIDEO;https://abelardo.com;SMS
8;Dong User-centric matrices;2022-02-16T09:37:13;2022-02-16T12:30:18;Metical;AUDIO;http://emory.org;Beauty tolerance
9;Arizona Libyan Wooden;2022-02-16T05:22:14;2022-02-16T00:48:47;solutions green Bedfordshire;VIDEO;https://cordia.biz;Cedi
10;mobile Metical Buckinghamshire;2022-02-16T04:11:37;2022-02-15T23:40:52;Executive reinvent algorithm;VIDEO;http://rashawn.biz;deposit Usability
