id;type;image_url;description;creation_date;created_by;card_color;background_image
1;Berkshire Frozen Dynamic;Handmade;Buckinghamshire Belgium;2022-02-16T05:18:34;system Account leading-edge;Mouse Mexican azure;overriding one-to-one
2;Utah;digital compelling Nebraska;generate Orchestrator Strategist;2022-02-16T13:21:00;Rustic SDD;Principal blockchains;port Rubber Handcrafted
3;Program Chair up;parallelism Rubber Implementation;wireless;2022-02-16T10:08:06;SSL Officer convergence;Rubber;Games
4;lavender;Som Account;violet;2022-02-15T19:58:11;feed;Borders access payment;Triple-buffered Toys payment
5;Savings silver users;Communications;Vermont;2022-02-15T21:42:57;back-end;Unbranded green Sum;architect application maroon
6;Regional Configuration;parse Refined Sausages;Kansas multimedia Representative;2022-02-16T15:40:07;Senegal silver;transmitting incubate Tonga;Games
7;B2C Orchestrator Soap;Vista;Rustic;2022-02-16T06:29:05;Cambridgeshire;parsing maximize;mobile invoice Fresh
8;services;Tala;green Analyst;2022-02-16T00:08:04;Outdoors pink;Manat Usability;value-added Granite connecting
9;Pataca;Brunei;HDD Andorra;2022-02-15T19:50:56;bluetooth Strategist;Turkmenistan;Central
10;input override;bandwidth multi-state Account;Soap Product AGP;2022-02-16T19:03:04;Dinar transmitting Drives;Riyal Quality-focused;Distributed granular
