id;code;name;type;category;price;description;creation_date;created_by
1;synthesizing;Algeria Virginia;Shoes;initiative;62544;Tactics;2022-02-16T08:27:54;Extensions hacking
2;Incredible Botswana Toys;Card Orchestrator;calculate;Steel Unbranded Tuna;192;Chicken;2022-02-16T18:14:18;metrics parsing Idaho
3;Senior transform Shirt;Home;e-commerce Designer;Fresh;17561;orchid purple lavender;2022-02-16T14:49:45;Missouri SMTP
4;front-end reserved Rubber;Sleek content matrix;Jewelery withdrawal;Tenge;9611;parallelism Andorra incentivize;2022-02-16T03:31:20;Global Practical Territory
5;salmon orchid;Real SQL Oklahoma;magnetic;backing TCP;2409;Direct Seamless transmitting;2022-02-16T10:26:58;hacking payment Senior
6;Small mint Administrator;bluetooth;Groves convergence Product;applications;82436;relationships;2022-02-16T14:29:16;solution-oriented
7;programming Forward Cotton;didactic cyan Albania;Fish Customer Dollar;disintermediate;17295;Account Checking;2022-02-16T16:54:35;Savings process Cambridgeshire
8;Rhode;benchmark navigate;algorithm;driver;1614;Division Front-line emulation;2022-02-15T23:48:40;Guatemala Jamaica optimize
9;Account;card Electronics framework;Hat connecting;architect bypassing;87191;Summit Plains program;2022-02-15T21:56:46;Gorgeous deposit HTTP
10;wireless;Cambridgeshire white grid-enabled;HDD;Buckinghamshire;73012;software;2022-02-16T11:43:17;transmitter digital Berkshire
