id;creation_date;created_by;like_reactive
1;2022-02-16T11:14:09;maximize firewall;DISLIKE
2;2022-02-16T05:53:34;Solomon;DISLIKE
3;2022-02-16T02:35:59;Personal attitude-oriented Fantastic;LIKE
4;2022-02-16T14:19:37;Outdoors;LIKE
5;2022-02-16T14:39:00;backing Planner optimize;DISLIKE
6;2022-02-16T09:27:58;Integration;DISLIKE
7;2022-02-15T20:06:18;modular syndicate circuit;LIKE
8;2022-02-16T00:43:45;turquoise Jewelery Soap;DISLIKE
9;2022-02-15T20:26:01;Mouse;LIKE
10;2022-02-15T22:01:00;Credit SDD Division;DISLIKE
