id;name;description;image_url;price;creation_date;created_by;order_times;has_favorite;discount_type;discount_amount;meal_status
1;Steel;Assistant;cross-platform Principal;35091;2022-02-16T11:15:47;Chilean reboot Dynamic;70131;false;PERCENTAGE;62989;BREAKFAST
2;THX;Centers Metal navigating;partnerships Infrastructure;91058;2022-02-15T23:10:12;intermediate initiative Generic;32770;true;FIX;16516;BREAKFAST
3;Small digital Oklahoma;orange Practical;Identity Dynamic Sports;86396;2022-02-16T06:12:15;Implementation Awesome;52784;false;FIX;66238;DINNER
4;invoice;Bike Shoes Center;tangible;62192;2022-02-16T18:28:45;Account;68319;false;PERCENTAGE;33734;LUNCH
5;South Forward open-source;Fantastic;Buckinghamshire;8835;2022-02-16T09:01:36;User-friendly Data navigate;38179;false;NONE;85040;BREAKFAST
6;Massachusetts Ergonomic Ergonomic;Handcrafted;relationships;78668;2022-02-16T15:45:59;National;93272;true;PERCENTAGE;6909;BREAKFAST
7;Dinar;Mobility Arkansas Kids;programming Algeria Rustic;21940;2022-02-16T03:20:39;transitional;80631;true;NONE;41751;LUNCH
8;Computers International Square;Frozen Sausages;invoice;32685;2022-02-16T02:46:57;Practical Ball project;83499;false;FIX;46693;BREAKFAST
9;Virtual Accounts Borders;Concrete capability synthesizing;global;93026;2022-02-16T12:24:11;Computers Man;10558;false;NONE;53349;BREAKFAST
10;Engineer generating;portals Berkshire intuitive;Concrete Account Account;99880;2022-02-15T20:55:22;markets;98878;false;NONE;18872;BREAKFAST
